sensor,time,pm_1,pm_25,pm_10,location
9,504331,0,0,1,in
9,505168,0,0,1,in
9,506077,0,0,1,in
9,506913,0,0,1,in
9,507752,0,0,1,in
9,508659,0,0,2,in
9,509498,0,0,2,in
9,510336,0,0,2,in
9,511243,0,0,2,in
9,512081,0,0,2,in
9,512919,0,0,2,in
9,513827,0,0,2,in
9,514665,0,0,2,in
9,515505,0,0,2,in
9,516411,0,0,2,in
9,517249,0,0,2,in
9,518087,0,0,2,in
9,518994,0,0,2,in
9,519833,0,0,2,in
9,520671,0,0,2,in
9,521579,0,0,2,in
9,522418,0,0,2,in
9,523255,0,0,2,in
9,524164,0,0,2,in
9,525001,0,0,2,in
9,525839,0,0,2,in
9,526747,0,0,0,in
9,527585,0,0,0,in
9,528423,0,0,0,in
9,529331,0,0,0,in
9,530168,0,0,0,in
9,531007,0,0,0,in
9,531914,0,1,2,in
9,532753,0,1,2,in
9,533591,0,1,2,in
9,534498,0,0,2,in
9,535336,0,0,2,in
9,536174,0,0,2,in
9,537081,0,0,2,in
9,537920,0,0,2,in
9,538758,0,0,2,in
9,539666,0,0,2,in
9,540504,0,0,2,in
9,541342,0,0,2,in
9,542249,0,0,2,in
9,543087,0,0,2,in
9,543926,0,0,2,in
9,544833,0,0,2,in
9,545672,0,0,2,in
9,546509,0,0,2,in
9,547417,0,0,2,in
9,548255,0,0,2,in
9,549093,0,0,2,in
9,550001,0,0,3,in
9,550839,0,0,3,in
9,551677,0,0,3,in
9,552585,0,0,3,in
9,553423,0,0,3,in
9,554261,0,0,3,in
9,555168,0,0,3,in
9,556007,0,0,3,in
9,556845,0,0,3,in
9,557753,0,0,1,in
9,558589,0,0,1,in
9,559427,0,0,1,in
9,560335,0,0,1,in
9,561173,0,0,1,in
9,562012,0,0,1,in
9,562919,0,0,1,in
9,563759,0,0,1,in
9,564595,0,0,1,in
9,565504,0,0,1,in
9,566341,0,0,1,in
9,567179,0,0,1,in
9,568087,0,0,1,in
9,568925,0,0,1,in
